id,id_item,id_category
1,733,7
2,561,1
3,37,8
4,129,6
5,847,2
6,912,8
7,990,5
8,683,5
9,112,2
10,698,6
11,821,8
12,610,5
13,648,1
14,50,1
15,856,5
16,552,7
17,407,6
18,18,2
19,839,3
20,591,9
21,564,5
22,212,5
23,313,10
24,688,9
25,93,9
26,746,4
27,774,8
28,641,1
29,394,5
30,441,2
31,750,9
32,66,4
33,527,2
34,140,8
35,315,2
36,829,4
37,401,10
38,966,5
39,675,1
40,687,4
41,872,2
42,301,2
43,958,2
44,568,4
45,673,1
46,408,1
47,596,4
48,519,2
49,50,9
50,252,3
51,398,1
52,125,4
53,977,1
54,465,4
55,428,1
56,750,2
57,309,5
58,708,6
59,651,3
60,363,4
61,83,9
62,805,4
63,817,5
64,349,8
65,615,9
66,567,1
67,61,8
68,921,1
69,909,5
70,536,7
71,680,5
72,154,5
73,202,1
74,441,10
75,758,1
76,133,8
77,852,1
78,505,4
79,815,10
80,888,3
81,611,1
82,757,10
83,26,2
84,561,2
85,395,6
86,324,3
87,636,9
88,104,1
89,369,9
90,521,6
91,198,6
92,492,5
93,210,9
94,673,7
95,929,10
96,995,3
97,706,1
98,953,9
99,204,3
100,335,7
101,983,5
102,12,1
103,443,8
104,457,5
105,327,1
106,749,1
107,205,8
108,557,3
109,585,5
110,299,6
111,635,2
112,948,2
113,553,6
114,884,2
115,750,10
116,290,8
117,260,4
118,729,8
119,453,10
120,631,7
121,863,7
122,974,2
123,627,10
124,143,2
125,203,10
126,335,8
127,859,2
128,434,5
129,304,2
130,50,8
131,545,10
132,631,1
133,766,5
134,725,5
135,223,4
136,495,7
137,555,9
138,213,6
139,441,7
140,387,10
141,204,1
142,556,7
143,216,8
144,648,10
145,501,3
146,50,5
147,643,1
148,47,2
149,511,7
150,315,3
151,952,5
152,428,3
153,493,1
154,444,9
155,754,1
156,225,2
157,138,2
158,595,10
159,880,4
160,328,8
161,10,2
162,564,7
163,391,7
164,802,2
165,18,7
166,325,4
167,538,7
168,851,2
169,403,10
170,189,5
171,324,9
172,660,4
173,441,8
174,310,5
175,933,1
176,835,1
177,147,2
178,531,5
179,727,3
180,998,6
181,566,8
182,760,5
183,379,3
184,114,4
185,915,3
186,336,4
187,441,4
188,988,7
189,583,2
190,401,4
191,329,5
192,564,1
193,488,3
194,581,10
195,726,2
196,307,2
197,936,10
198,547,10
199,574,5
200,103,9
201,63,1
202,585,10
203,650,7
204,162,6
205,56,6
206,530,9
207,989,3
208,532,7
209,286,10
210,924,1
211,314,2
212,252,9
213,303,10
214,946,2
215,261,2
216,227,8
217,603,4
218,465,3
219,513,7
220,350,4
221,943,7
222,258,8
223,133,3
224,999,4
225,57,8
226,300,4
227,682,6
228,683,4
229,584,1
230,623,1
231,225,10
232,935,7
233,175,9
234,60,8
235,537,8
236,328,10
237,776,3
238,123,9
239,752,4
240,133,7
241,238,1
242,821,4
243,283,5
244,702,3
245,101,5
246,11,8
247,175,3
248,226,1
249,61,4
250,344,7
251,652,6
252,290,1
253,263,1
254,216,10
255,973,5
256,350,8
257,198,1
258,801,5
259,688,3
260,924,7
261,118,6
262,451,1
263,802,5
264,949,2
265,633,3
266,753,7
267,633,8
268,634,8
269,611,4
270,789,8
271,757,2
272,403,6
273,500,7
274,633,1
275,975,9
276,130,8
277,759,9
278,511,3
279,812,5
280,784,6
281,810,6
282,920,2
283,352,8
284,763,3
285,141,1
286,38,3
287,389,10
288,727,7
289,92,5
290,115,1
291,40,1
292,217,2
293,783,9
294,288,9
295,648,5
296,452,7
297,533,10
298,953,10
299,199,6
300,770,4
301,81,3
302,486,4
303,5,4
304,809,2
305,408,6
306,982,9
307,490,9
308,198,10
309,252,5
310,403,9
311,744,2
312,184,8
313,263,7
314,188,1
315,573,5
316,45,8
317,650,6
318,214,1
319,614,3
320,273,8
321,555,6
322,541,3
323,562,7
324,223,8
325,931,8
326,783,9
327,863,10
328,555,2
329,345,8
330,728,8
331,909,8
332,453,5
333,515,8
334,395,2
335,158,5
336,490,10
337,260,5
338,669,1
339,697,4
340,123,1
341,829,4
342,467,6
343,992,1
344,867,3
345,694,8
346,909,10
347,26,6
348,786,5
349,998,2
350,637,10
351,92,5
352,435,5
353,553,2
354,636,7
355,444,10
356,401,7
357,230,9
358,16,10
359,252,1
360,618,10
361,365,3
362,20,9
363,268,10
364,121,2
365,358,3
366,979,1
367,705,8
368,759,3
369,692,5
370,863,7
371,521,7
372,83,5
373,601,10
374,945,4
375,946,3
376,484,5
377,851,6
378,879,3
379,260,10
380,181,8
381,865,6
382,206,6
383,299,8
384,15,2
385,157,9
386,986,8
387,682,6
388,988,9
389,22,6
390,528,1
391,189,10
392,875,8
393,65,6
394,336,2
395,505,7
396,24,2
397,130,5
398,392,10
399,985,7
400,515,7
401,468,8
402,23,3
403,344,9
404,968,8
405,316,2
406,773,10
407,474,5
408,467,3
409,123,8
410,192,7
411,798,9
412,619,6
413,463,9
414,450,7
415,483,7
416,29,5
417,498,6
418,13,9
419,276,10
420,71,9
421,741,6
422,584,2
423,268,5
424,475,4
425,957,6
426,50,1
427,167,9
428,198,9
429,424,1
430,164,4
431,486,7
432,350,7
433,558,2
434,924,6
435,123,1
436,853,1
437,775,9
438,234,4
439,924,7
440,146,6
441,77,8
442,617,9
443,382,7
444,461,10
445,657,10
446,542,9
447,526,5
448,975,3
449,737,2
450,165,2
451,62,4
452,467,2
453,967,10
454,721,8
455,120,3
456,552,2
457,925,6
458,232,2
459,491,5
460,197,8
461,125,2
462,139,9
463,703,5
464,749,7
465,687,4
466,624,5
467,554,4
468,541,6
469,412,4
470,450,1
471,737,1
472,313,2
473,37,6
474,454,3
475,15,8
476,918,7
477,874,8
478,607,10
479,529,4
480,477,4
481,75,5
482,224,2
483,102,7
484,947,5
485,55,1
486,594,4
487,915,4
488,934,3
489,106,6
490,588,10
491,61,8
492,685,4
493,276,3
494,700,1
495,724,7
496,168,8
497,944,7
498,733,10
499,185,2
500,883,4
501,485,10
502,583,5
503,914,3
504,737,3
505,954,8
506,556,9
507,901,2
508,284,6
509,26,3
510,7,3
511,54,1
512,369,3
513,586,5
514,680,7
515,723,2
516,642,6
517,13,3
518,50,10
519,735,6
520,710,10
521,904,6
522,26,6
523,264,10
524,578,1
525,112,4
526,1000,1
527,158,5
528,546,4
529,632,10
530,403,6
531,785,4
532,596,9
533,22,8
534,744,6
535,955,2
536,768,3
537,544,6
538,13,7
539,836,6
540,707,4
541,494,10
542,894,9
543,650,6
544,105,8
545,803,8
546,831,10
547,752,6
548,782,6
549,416,3
550,525,7
551,37,10
552,766,8
553,484,10
554,6,2
555,824,1
556,926,6
557,985,7
558,617,3
559,869,8
560,620,1
561,364,10
562,12,6
563,499,6
564,960,5
565,433,10
566,235,10
567,885,6
568,732,9
569,64,1
570,294,5
571,745,4
572,189,10
573,405,5
574,954,8
575,728,5
576,516,6
577,531,8
578,294,5
579,437,1
580,514,3
581,266,4
582,288,9
583,919,6
584,356,6
585,974,2
586,181,10
587,877,2
588,165,3
589,811,1
590,2,3
591,925,5
592,509,7
593,900,9
594,926,4
595,752,1
596,58,8
597,683,9
598,241,9
599,712,4
600,687,3
601,681,1
602,358,1
603,155,9
604,297,7
605,969,9
606,505,9
607,416,3
608,736,6
609,576,3
610,740,10
611,382,1
612,822,2
613,321,9
614,468,8
615,18,7
616,580,6
617,896,1
618,770,1
619,797,6
620,270,6
621,153,3
622,444,7
623,158,1
624,147,4
625,909,9
626,520,1
627,552,5
628,98,3
629,212,10
630,36,1
631,969,10
632,254,4
633,154,8
634,954,4
635,60,7
636,687,2
637,154,5
638,941,6
639,534,6
640,428,4
641,351,7
642,381,6
643,399,9
644,633,5
645,177,3
646,587,4
647,354,1
648,580,9
649,456,7
650,360,7
651,257,8
652,772,8
653,540,2
654,305,10
655,964,7
656,229,6
657,218,5
658,539,2
659,648,6
660,687,1
661,876,1
662,758,7
663,112,9
664,862,5
665,624,3
666,91,2
667,561,9
668,390,2
669,989,3
670,619,4
671,986,9
672,8,8
673,676,6
674,925,6
675,434,3
676,714,2
677,577,7
678,10,4
679,411,2
680,253,8
681,951,3
682,920,5
683,812,6
684,840,6
685,455,1
686,934,8
687,418,3
688,390,2
689,345,7
690,551,5
691,367,6
692,299,9
693,135,8
694,194,2
695,956,4
696,866,1
697,428,2
698,304,6
699,565,7
700,701,1
701,922,7
702,712,8
703,883,3
704,956,10
705,881,3
706,230,1
707,613,3
708,96,4
709,944,7
710,596,9
711,786,1
712,766,10
713,51,9
714,758,4
715,710,8
716,236,5
717,931,10
718,849,10
719,732,5
720,134,2
721,915,5
722,533,2
723,791,5
724,517,1
725,396,6
726,985,3
727,459,3
728,956,1
729,117,2
730,643,3
731,412,7
732,430,6
733,572,1
734,881,9
735,474,10
736,248,6
737,471,3
738,801,4
739,835,3
740,157,4
741,18,8
742,562,1
743,254,9
744,624,7
745,67,2
746,593,9
747,701,5
748,443,10
749,964,10
750,966,9
751,940,2
752,416,2
753,968,4
754,873,8
755,84,10
756,408,2
757,170,3
758,686,9
759,857,1
760,926,1
761,14,7
762,143,6
763,30,1
764,650,10
765,261,7
766,372,10
767,165,5
768,50,9
769,931,6
770,917,2
771,202,8
772,48,2
773,70,3
774,602,5
775,761,5
776,39,10
777,985,3
778,968,4
779,871,5
780,322,6
781,232,6
782,390,1
783,723,1
784,51,10
785,56,8
786,886,5
787,211,2
788,186,6
789,466,3
790,332,10
791,841,6
792,623,8
793,390,3
794,840,1
795,291,8
796,436,4
797,553,7
798,589,6
799,630,9
800,374,8
801,876,2
802,743,7
803,678,4
804,702,10
805,356,3
806,539,2
807,20,10
808,171,5
809,600,3
810,199,4
811,21,1
812,195,7
813,373,10
814,53,8
815,233,6
816,36,10
817,886,4
818,187,2
819,972,9
820,734,7
821,478,7
822,64,3
823,159,8
824,40,9
825,210,3
826,370,10
827,965,4
828,586,10
829,881,1
830,8,3
831,474,8
832,993,9
833,102,2
834,961,2
835,277,8
836,906,7
837,656,4
838,759,4
839,450,8
840,102,10
841,448,9
842,980,1
843,888,4
844,628,3
845,127,1
846,264,1
847,361,1
848,770,7
849,193,4
850,634,1
851,255,4
852,981,6
853,979,9
854,108,7
855,616,3
856,959,2
857,773,6
858,983,3
859,671,3
860,843,3
861,464,3
862,368,3
863,114,2
864,156,1
865,274,9
866,147,1
867,298,8
868,547,3
869,942,3
870,30,6
871,251,4
872,783,6
873,523,9
874,215,4
875,46,1
876,367,3
877,219,4
878,987,5
879,897,8
880,686,4
881,485,2
882,217,1
883,993,6
884,357,2
885,309,1
886,463,5
887,460,4
888,9,8
889,891,3
890,86,8
891,822,8
892,454,10
893,206,2
894,946,4
895,709,4
896,654,7
897,200,1
898,101,1
899,923,10
900,877,5
901,5,8
902,482,10
903,889,1
904,84,9
905,618,3
906,59,7
907,968,2
908,31,1
909,956,9
910,701,5
911,308,7
912,494,1
913,964,8
914,439,4
915,9,1
916,576,5
917,778,9
918,321,2
919,340,5
920,400,1
921,130,9
922,715,6
923,79,9
924,269,10
925,49,2
926,987,2
927,775,10
928,462,5
929,828,1
930,412,8
931,429,4
932,196,10
933,643,4
934,59,9
935,627,1
936,371,9
937,682,10
938,348,3
939,364,1
940,112,3
941,149,5
942,388,5
943,217,5
944,24,1
945,687,3
946,343,1
947,171,2
948,139,1
949,345,3
950,352,8
951,881,5
952,801,5
953,191,3
954,248,2
955,627,1
956,357,9
957,163,4
958,241,4
959,748,6
960,851,7
961,449,9
962,859,8
963,318,7
964,920,10
965,505,2
966,426,7
967,817,7
968,513,6
969,283,6
970,54,4
971,762,4
972,794,9
973,527,8
974,916,7
975,758,3
976,175,10
977,388,3
978,681,5
979,598,9
980,14,1
981,205,10
982,129,2
983,611,8
984,750,10
985,949,5
986,713,1
987,89,10
988,752,10
989,19,10
990,698,10
991,598,5
992,26,8
993,181,9
994,816,2
995,927,7
996,730,8
997,750,2
998,715,10
999,117,3
1000,535,9
